Index	chr	str	end	name	PeakID	Chr_Homer	Start_Homer	End_Homer	CpG%	GC%
81	chr1	5862811	5992473	ENSG00000131697	NaN	NaN	NaN	NaN	0.021154	0.497865
82	chr1	5991466	6101193	ENSG00000069424	NaN	NaN	NaN	NaN	0.024264	0.555794
83	chr1	6101793	6180123	ENSG00000116254	NaN	NaN	NaN	NaN	0.024601	0.567037
84	chr1	6181269	6209389	ENSG00000116251	NaN	NaN	NaN	NaN	0.027917	0.506046
85	chr1	6205475	6221299	ENSG00000158286	NaN	NaN	NaN	NaN	0.034191	0.573243
86	chr1	6221193	6235972	ENSG00000116237	NaN	NaN	NaN	NaN	0.025105	0.495906
87	chr1	6244192	6245578	ENSG00000173673	NaN	NaN	NaN	NaN	0.062094	0.660173
88	chr1	6247346	6260975	ENSG00000158292	NaN	NaN	NaN	NaN	0.038964	0.603126
89	chr1	6264269	6394391	ENSG00000097021	NaN	NaN	NaN	NaN	0.024394	0.549643
90	chr1	6412418	6424670	ENSG00000069812	NaN	NaN	NaN	NaN	0.037711	0.575171
91	chr1	6424788	6461370	ENSG00000187017	NaN	NaN	NaN	NaN	0.035401	0.601389
92	chr1	6461151	6466195	ENSG00000215788	NaN	NaN	NaN	NaN	0.0349	0.597145
93	chr1	6466092	6520061	ENSG00000171680	NaN	NaN	NaN	NaN	0.02948	0.588486
94	chr1	6521347	6554535	ENSG00000162408	NaN	NaN	NaN	NaN	0.02058	0.477823
95	chr1	6555181	6579757	ENSG00000173662	NaN	NaN	NaN	NaN	0.02177	0.525106
96	chr1	6580001	6589280	ENSG00000204859	NaN	NaN	NaN	NaN	0.024035	0.577756
97	chr1	6590724	6614607	ENSG00000162413	NaN	NaN	NaN	NaN	0.038272	0.544655
98	chr1	6613685	6624033	ENSG00000116273	NaN	NaN	NaN	NaN	0.042718	0.549961
99	chr1	6624866	6635586	ENSG00000041988	NaN	NaN	NaN	NaN	0.033585	0.567724
100	chr1	6634168	6701924	ENSG00000007923	NaN	NaN	NaN	NaN	0.017947	0.466025
101	chr1	6785324	7769706	ENSG00000171735	NaN	NaN	NaN	NaN	0.012182	0.41397
102	chr1	7771269	7781432	ENSG00000049245	NaN	NaN	NaN	NaN	0.018599	0.427728
103	chr1	7784320	7845177	ENSG00000049246	NaN	NaN	NaN	NaN	0.013179	0.405327
104	chr1	7843083	7853512	ENSG00000049247	NaN	NaN	NaN	NaN	0.014193	0.408189
105	chr1	7915894	7943165	ENSG00000049249	NaN	NaN	NaN	NaN	0.015585	0.439478
106	chr1	7954291	7985505	ENSG00000116288	NaN	NaN	NaN	NaN	0.018934	0.454091
107	chr1	8004404	8026308	ENSG00000116285	NaN	NaN	NaN	NaN	0.01598	0.427958
108	chr1	8317826	8344167	ENSG00000162426	NaN	NaN	NaN	NaN	0.029651	0.523594
109	chr1	8352397	8817643	ENSG00000142599	NaN	NaN	NaN	NaN	0.016293	0.460978
110	chr1	8861002	8879249	ENSG00000074800	NaN	NaN	NaN	NaN	0.022909	0.502329
111	chr1	8945867	8975092	ENSG00000131686	NaN	NaN	NaN	NaN	0.01687	0.480582
112	chr1	9003300	9026345	ENSG00000197241	NaN	NaN	NaN	NaN	0.021828	0.524365
113	chr1	9035107	9088478	ENSG00000142583	NaN	NaN	NaN	NaN	0.018156	0.479174
114	chr1	9100305	9129170	ENSG00000180758	NaN	NaN	NaN	NaN	0.020822	0.500606
115	chr1	9234775	9271337	ENSG00000049239	NaN	NaN	NaN	NaN	0.023577	0.52292
116	chr1	9292880	9369532	ENSG00000171621	NaN	NaN	NaN	NaN	0.024253	0.542856
117	chr1	9539482	9585179	ENSG00000171612	NaN	NaN	NaN	NaN	0.018908	0.455019
118	chr1	9588922	9614873	ENSG00000188807	NaN	NaN	NaN	NaN	0.030058	0.593388
119	chr1	9651732	9729114	ENSG00000171608	NaN	NaN	NaN	NaN	0.023378	0.513298
120	chr1	9652610	9654586	ENSG00000179840	NaN	NaN	NaN	NaN	0.03443	0.553138
121	chr1	9729026	9824526	ENSG00000171603	NaN	NaN	NaN	NaN	0.021424	0.473665
122	chr1	9848276	9910336	ENSG00000178585	NaN	NaN	NaN	NaN	0.018321	0.513906
123	chr1	9922113	9943407	ENSG00000162441	NaN	NaN	NaN	NaN	0.016766	0.43895
124	chr1	9943428	9985501	ENSG00000173614	NaN	NaN	NaN	NaN	0.016709	0.461293
125	chr1	9997206	10016020	ENSG00000162444	NaN	NaN	NaN	NaN	0.022378	0.483257
126	chr1	10032832	10181239	ENSG00000130939	NaN	NaN	NaN	NaN	0.014583	0.439045
127	chr1	10210805	10381603	ENSG00000054523	NaN	NaN	NaN	NaN	0.012212	0.41221
128	chr1	10398592	10420144	ENSG00000142657	NaN	NaN	NaN	NaN	0.023247	0.476847
129	chr1	10430102	10452153	ENSG00000251503	NaN	NaN	NaN	NaN	0.022086	0.479207
130	chr1	10430443	10442809	ENSG00000175279	NaN	NaN	NaN	NaN	0.022078	0.468866
131	chr1	10449719	10451902	ENSG00000241563	NaN	NaN	NaN	NaN	0.022915	0.471828
132	chr1	10456522	10472526	ENSG00000160049	NaN	NaN	NaN	NaN	0.022621	0.485254
133	chr1	10472288	10630758	ENSG00000142655	NaN	NaN	NaN	NaN	0.016313	0.445396
134	chr1	10636604	10796650	ENSG00000130940	NaN	NaN	NaN	NaN	0.030525	0.583079
135	chr1	10946471	10982037	ENSG00000175262	NaN	NaN	NaN	NaN	0.020132	0.521537
136	chr1	11012662	11030528	ENSG00000277726	NaN	NaN	NaN	NaN	0.017352	0.429027
137	chr1	11026523	11047233	ENSG00000009724	NaN	NaN	NaN	NaN	0.018543	0.502173
138	chr1	11054584	11060024	ENSG00000116649	NaN	NaN	NaN	NaN	0.041736	0.598713
139	chr1	11066618	11099881	ENSG00000171824	NaN	NaN	NaN	NaN	0.017918	0.463819
140	chr1	11106535	11262507	ENSG00000198793	NaN	NaN	NaN	NaN	0.011962	0.447276
141	chr1	11189341	11195981	ENSG00000171819	NaN	NaN	NaN	NaN	0.012653	0.463855
142	chr1	11273206	11296049	ENSG00000120942	NaN	NaN	NaN	NaN	0.015629	0.482117
143	chr1	11479166	11537584	ENSG00000204624	NaN	NaN	NaN	NaN	0.018608	0.528501
144	chr1	11648367	11655785	ENSG00000116661	NaN	NaN	NaN	NaN	0.042874	0.611755
145	chr1	11654375	11663327	ENSG00000132879	NaN	NaN	NaN	NaN	0.030946	0.549486
146	chr1	11664124	11674354	ENSG00000116663	NaN	NaN	NaN	NaN	0.029817	0.552786
147	chr1	11674480	11691650	ENSG00000116670	NaN	NaN	NaN	NaN	0.028831	0.539138
148	chr1	11691729	11725857	ENSG00000162490	NaN	NaN	NaN	NaN	0.022387	0.53396
149	chr1	11736084	11754802	ENSG00000177674	NaN	NaN	NaN	NaN	0.019928	0.543701
150	chr1	11761787	11789585	ENSG00000215910	NaN	NaN	NaN	NaN	0.02083	0.551874
151	chr1	11785723	11806920	ENSG00000177000	NaN	NaN	NaN	NaN	0.022834	0.545313
152	chr1	11806096	11843144	ENSG00000011021	NaN	NaN	NaN	NaN	0.018733	0.477921
153	chr1	11845709	11848345	ENSG00000175206	NaN	NaN	NaN	NaN	0.021632	0.540592
154	chr1	11857464	11858931	ENSG00000120937	NaN	NaN	NaN	NaN	0.02251	0.544649
155	chr1	11919591	11926428	ENSG00000116685	NaN	NaN	NaN	NaN	0.036132	0.557993
156	chr1	11934205	11975538	ENSG00000083444	NaN	NaN	NaN	NaN	0.019694	0.535383
157	chr1	11980181	12013514	ENSG00000116688	NaN	NaN	NaN	NaN	0.020071	0.511175
158	chr1	12019466	12032045	ENSG00000116691	NaN	NaN	NaN	NaN	0.026872	0.556165
159	chr1	12063377	12144207	ENSG00000120949	NaN	NaN	NaN	NaN	0.01862	0.505468
160	chr1	12167003	12209228	ENSG00000028137	NaN	NaN	NaN	NaN	0.020652	0.553937
161	chr1	12230067	12512047	ENSG00000048707	NaN	NaN	NaN	NaN	0.012492	0.423932
162	chr1	12567910	12617731	ENSG00000162496	NaN	NaN	NaN	NaN	0.018547	0.513077
163	chr1	12644547	12667086	ENSG00000204518	NaN	NaN	NaN	NaN	0.013488	0.472381
164	chr1	12716115	12728759	ENSG00000188984	NaN	NaN	NaN	NaN	0.010124	0.461167
165	chr1	12746215	12763699	ENSG00000157330	NaN	NaN	NaN	NaN	0.009037	0.438172
166	chr1	12774841	12777906	ENSG00000116726	NaN	NaN	NaN	NaN	0.014034	0.532137
167	chr1	12791397	12796628	ENSG00000116721	NaN	NaN	NaN	NaN	0.011855	0.464729
168	chr1	12824605	12831410	ENSG00000239810	NaN	NaN	NaN	NaN	0.009406	0.480235
169	chr1	12847377	12947578	ENSG00000179172	NaN	NaN	NaN	NaN	0.009992	0.457448
170	chr1	12857086	12861909	ENSG00000120952	NaN	NaN	NaN	NaN	0.011199	0.471905
171	chr1	12879224	12886201	ENSG00000243073	NaN	NaN	NaN	NaN	0.009461	0.482012
172	chr1	12892896	12898270	ENSG00000187545	NaN	NaN	NaN	NaN	0.010422	0.478601
173	chr1	12916610	12920482	ENSG00000204510	NaN	NaN	NaN	NaN	0.008783	0.500775
174	chr1	12938472	13056491	ENSG00000232423	NaN	NaN	NaN	NaN	0.010804	0.456715
175	chr1	13029339	13032130	ENSG00000274178	NaN	NaN	NaN	NaN	0.015412	0.501254
176	chr1	13049476	13155947	ENSG00000274764	NaN	NaN	NaN	NaN	0.010252	0.456628
177	chr1	13060853	13077884	ENSG00000229571	NaN	NaN	NaN	NaN	0.010276	0.45153
178	chr1	13060869	13062229	ENSG00000277058	NaN	NaN	NaN	NaN	0.022811	0.469853
179	chr1	13115496	13116854	ENSG00000275774	NaN	NaN	NaN	NaN	0.022845	0.460972
180	chr1	13254212	13263314	ENSG00000270601	NaN	NaN	NaN	NaN	0.009889	0.475939
181	chr1	13281035	13285174	ENSG00000182330	NaN	NaN	NaN	NaN	0.008458	0.498913
182	chr1	13342034	13347134	ENSG00000204481	NaN	NaN	NaN	NaN	0.011179	0.469804
183	chr1	13369067	13371693	ENSG00000204480	NaN	NaN	NaN	NaN	0.014476	0.504189
184	chr1	13389632	13392629	ENSG00000204479	NaN	NaN	NaN	NaN	0.00968	0.501502
185	chr1	13410450	13421328	ENSG00000204478	NaN	NaN	NaN	NaN	0.012044	0.474995
186	chr1	13474977	13514048	ENSG00000162494	NaN	NaN	NaN	NaN	0.019759	0.501472
187	chr1	13583465	13617957	ENSG00000162493	NaN	NaN	NaN	NaN	0.017367	0.453844
188	chr1	13700198	13825079	ENSG00000116731	NaN	NaN	NaN	NaN	0.014243	0.41303
189	chr1	14598704	15118043	ENSG00000189337	NaN	NaN	NaN	NaN	0.013312	0.458758
190	chr1	15152532	15220480	ENSG00000171729	NaN	NaN	NaN	NaN	0.017558	0.48412
191	chr1	15164344	15171317	ENSG00000204464	NaN	NaN	NaN	NaN	0.014056	0.433673
192	chr1	15247272	15400283	ENSG00000142621	NaN	NaN	NaN	NaN	0.014783	0.463839
193	chr1	15409895	15430343	ENSG00000142634	NaN	NaN	NaN	NaN	0.026312	0.567733
194	chr1	15438439	15449242	ENSG00000162438	NaN	NaN	NaN	NaN	0.01796	0.518375
195	chr1	15456728	15472091	ENSG00000142615	NaN	NaN	NaN	NaN	0.015102	0.482783
196	chr1	15465909	15491400	ENSG00000215704	NaN	NaN	NaN	NaN	0.015653	0.487584
197	chr1	15490832	15526534	ENSG00000132906	NaN	NaN	NaN	NaN	0.018263	0.487004
198	chr1	15526813	15592379	ENSG00000116138	NaN	NaN	NaN	NaN	0.016167	0.446725
199	chr1	15572353	15585110	ENSG00000116771	NaN	NaN	NaN	NaN	0.02391	0.496355
200	chr1	15617500	15669044	ENSG00000197312	NaN	NaN	NaN	NaN	0.013057	0.423968
201	chr1	15659869	15661722	ENSG00000215695	NaN	NaN	NaN	NaN	0.010259	0.428494
202	chr1	15684332	15734769	ENSG00000116786	NaN	NaN	NaN	NaN	0.021532	0.519975
203	chr1	15736405	15741396	ENSG00000162461	NaN	NaN	NaN	NaN	0.025852	0.58866
204	chr1	15742422	15747982	ENSG00000162460	NaN	NaN	NaN	NaN	0.027163	0.588849
205	chr1	15756607	15786594	ENSG00000162458	NaN	NaN	NaN	NaN	0.023478	0.535299
206	chr1	15847864	15940460	ENSG00000065526	NaN	NaN	NaN	NaN	0.016416	0.429867
207	chr1	15941869	15976132	ENSG00000116809	NaN	NaN	NaN	NaN	0.021423	0.512185
208	chr1	16004236	16008807	ENSG00000183888	NaN	NaN	NaN	NaN	0.015536	0.523299
209	chr1	16014028	16019594	ENSG00000173641	NaN	NaN	NaN	NaN	0.026235	0.610313
210	chr1	16018875	16034050	ENSG00000186510	NaN	NaN	NaN	NaN	0.020232	0.599077
211	chr1	16043736	16057308	ENSG00000184908	NaN	NaN	NaN	NaN	0.019232	0.592617
212	chr1	16057769	16073632	ENSG00000185519	NaN	NaN	NaN	NaN	0.020552	0.579525
213	chr1	16124337	16156087	ENSG00000142627	NaN	NaN	NaN	NaN	0.025198	0.573291
214	chr1	16197854	16212609	ENSG00000142632	NaN	NaN	NaN	NaN	0.022367	0.573365
215	chr1	16231700	16237162	ENSG00000132881	NaN	NaN	NaN	NaN	0.02234	0.540644
216	chr1	16246839	16352454	ENSG00000037637	NaN	NaN	NaN	NaN	0.013332	0.438154
217	chr1	16352575	16398145	ENSG00000055070	NaN	NaN	NaN	NaN	0.019158	0.481018
218	chr1	16387117	16437424	ENSG00000187144	NaN	NaN	NaN	NaN	0.015823	0.503687
219	chr1	16440672	16460078	ENSG00000157191	NaN	NaN	NaN	NaN	0.018603	0.494022
220	chr1	16539066	16539575	ENSG00000268991	NaN	NaN	NaN	NaN	0.019685	0.569745
221	chr1	16562319	16613562	ENSG00000219481	NaN	NaN	NaN	NaN	0.010636	0.439884
222	chr1	16673003	16673512	ENSG00000237847	NaN	NaN	NaN	NaN	0.015748	0.583497
223	chr1	16740273	16972979	ENSG00000058453	NaN	NaN	NaN	NaN	0.01474	0.462778
224	chr1	16974502	16980835	ENSG00000117122	NaN	NaN	NaN	NaN	0.032059	0.626243
225	chr1	16985958	17011928	ENSG00000159363	NaN	NaN	NaN	NaN	0.027109	0.572314
226	chr1	17018722	17054170	ENSG00000117118	NaN	NaN	NaN	NaN	0.012215	0.435116
227	chr1	17066761	17119435	ENSG00000117115	NaN	NaN	NaN	NaN	0.01572	0.517485
228	chr1	17205126	17246005	ENSG00000142623	NaN	NaN	NaN	NaN	0.014874	0.533061
229	chr1	17249098	17284233	ENSG00000142619	NaN	NaN	NaN	NaN	0.01426	0.514814
230	chr1	17308195	17364004	ENSG00000159339	NaN	NaN	NaN	NaN	0.015374	0.490566
231	chr1	17372196	17401699	ENSG00000276747	NaN	NaN	NaN	NaN	0.016541	0.520659
232	chr1	17406760	17439724	ENSG00000179051	NaN	NaN	NaN	NaN	0.027667	0.516776
233	chr1	17539835	17697874	ENSG00000074964	NaN	NaN	NaN	NaN	0.017093	0.539522
234	chr1	17755313	17827063	ENSG00000117148	NaN	NaN	NaN	NaN	0.013589	0.481533
235	chr1	18107746	18378483	ENSG00000117154	NaN	NaN	NaN	NaN	0.015113	0.504626
236	chr1	18480982	18486126	ENSG00000179023	NaN	NaN	NaN	NaN	0.031694	0.57776
237	chr1	18631006	18748866	ENSG00000009709	NaN	NaN	NaN	NaN	0.020924	0.525729
238	chr1	18839599	18859682	ENSG00000179002	NaN	NaN	NaN	NaN	0.012798	0.496689
239	chr1	18849273	18921121	ENSG00000255275	NaN	NaN	NaN	NaN	0.020669	0.53751
240	chr1	18871430	18902781	ENSG00000159423	NaN	NaN	NaN	NaN	0.022201	0.550381
241	chr1	18904281	18956686	ENSG00000169991	NaN	NaN	NaN	NaN	0.021449	0.543326
242	chr1	19074506	19210276	ENSG00000127481	NaN	NaN	NaN	NaN	0.011342	0.445516
243	chr1	19215664	19251552	ENSG00000127463	NaN	NaN	NaN	NaN	0.014183	0.466312
244	chr1	19251539	19260128	ENSG00000053372	NaN	NaN	NaN	NaN	0.023754	0.534987
245	chr1	19282558	19289250	ENSG00000162482	NaN	NaN	NaN	NaN	0.027051	0.549611
246	chr1	19303965	19312146	ENSG00000053371	NaN	NaN	NaN	NaN	0.021149	0.528786
247	chr1	19312326	19329300	ENSG00000040487	NaN	NaN	NaN	NaN	0.022447	0.549311
248	chr1	19338776	19485539	ENSG00000077549	NaN	NaN	NaN	NaN	0.017783	0.496334
249	chr1	19596977	19629821	ENSG00000173436	NaN	NaN	NaN	NaN	0.01291	0.429576
250	chr1	19596979	19658056	ENSG00000270136	NaN	NaN	NaN	NaN	0.018076	0.47481
251	chr1	19640554	19658456	ENSG00000158747	NaN	NaN	NaN	NaN	0.03011	0.569769
252	chr1	19665287	19679562	ENSG00000158748	NaN	NaN	NaN	NaN	0.021157	0.529317
253	chr1	19682213	19799945	ENSG00000162542	NaN	NaN	NaN	NaN	0.013993	0.491944
254	chr1	19814029	19815278	ENSG00000178828	NaN	NaN	NaN	NaN	0.027244	0.581265
255	chr1	19882513	19912945	ENSG00000169914	NaN	NaN	NaN	NaN	0.012947	0.412789
256	chr1	19920009	19923617	ENSG00000188784	NaN	NaN	NaN	NaN	0.021625	0.596175
257	chr1	19975431	19980416	ENSG00000188257	NaN	NaN	NaN	NaN	0.009831	0.520963
258	chr1	20028179	20091190	ENSG00000127472	NaN	NaN	NaN	NaN	0.00903	0.446065
259	chr1	20111939	20119566	ENSG00000117215	NaN	NaN	NaN	NaN	0.011933	0.505966
260	chr1	20139326	20150386	ENSG00000158786	NaN	NaN	NaN	NaN	0.017271	0.560127
261	chr1	20161253	20177424	ENSG00000187980	NaN	NaN	NaN	NaN	0.015152	0.516851
262	chr1	20186085	20196048	ENSG00000162543	NaN	NaN	NaN	NaN	0.014053	0.472348
263	chr1	20290919	20354894	ENSG00000158816	NaN	NaN	NaN	NaN	0.01485	0.50365
264	chr1	20482391	20486220	ENSG00000162545	NaN	NaN	NaN	NaN	0.065308	0.57613
265	chr1	20499448	20508161	ENSG00000090432	NaN	NaN	NaN	NaN	0.018365	0.475267
266	chr1	20552439	20555010	ENSG00000183114	NaN	NaN	NaN	NaN	0.084436	0.679502
267	chr1	20588948	20618908	ENSG00000158825	NaN	NaN	NaN	NaN	0.015488	0.485347
268	chr1	20633455	20651511	ENSG00000158828	NaN	NaN	NaN	NaN	0.020382	0.507809
269	chr1	20651767	20661544	ENSG00000244038	NaN	NaN	NaN	NaN	0.023016	0.506086
270	chr1	20664014	20718017	ENSG00000117245	NaN	NaN	NaN	NaN	0.022258	0.525452
271	chr1	20719732	20732837	ENSG00000189410	NaN	NaN	NaN	NaN	0.031517	0.613888
272	chr1	20742661	20787323	ENSG00000127483	NaN	NaN	NaN	NaN	0.015181	0.411692
273	chr1	20806292	21176888	ENSG00000075151	NaN	NaN	NaN	NaN	0.010032	0.396427
274	chr1	21217247	21345504	ENSG00000117298	NaN	NaN	NaN	NaN	0.018693	0.516818
275	chr1	21440128	21485005	ENSG00000142794	NaN	NaN	NaN	NaN	0.011075	0.430532
276	chr1	21509372	21578412	ENSG00000162551	NaN	NaN	NaN	NaN	0.01883	0.516324
277	chr1	21596215	21669363	ENSG00000076864	NaN	NaN	NaN	NaN	0.021177	0.566318
278	chr1	21678298	21783606	ENSG00000090686	NaN	NaN	NaN	NaN	0.012252	0.41458
279	chr1	21812265	21825221	ENSG00000187942	NaN	NaN	NaN	NaN	0.024855	0.542914
280	chr1	21822245	21937297	ENSG00000142798	NaN	NaN	NaN	NaN	0.022684	0.562186
281	chr1	21977021	21998642	ENSG00000219073	NaN	NaN	NaN	NaN	0.016374	0.496046
282	chr1	22001656	22012539	ENSG00000142789	NaN	NaN	NaN	NaN	0.01792	0.506294
283	chr1	22052627	22092946	ENSG00000070831	NaN	NaN	NaN	NaN	0.014361	0.418165
284	chr1	22117305	22143969	ENSG00000162552	NaN	NaN	NaN	NaN	0.026104	0.577033
