name	bins	geneID	gname	tid	strand	gene_biotype
bins6301_ENSG00000189409	bins6301	ENSG00000189409	MMP23B	ENST00000618459	+	protein_coding
bins6451_ENSG00000189339	bins6451	ENSG00000189339	SLC35E2B	ENST00000614300	-	protein_coding
bins6601_ENSG00000248333	bins6601	ENSG00000248333	CDK11B	ENST00000317673	-	protein_coding
bins6751_ENSG00000008128	bins6751	ENSG00000008128	CDK11A	ENST00000378633	-	protein_coding
bins6901_ENSG00000215790	bins6901	ENSG00000215790	SLC35E2	ENST00000355439	-	protein_coding
bins7051_ENSG00000008130	bins7051	ENSG00000008130	NADK	ENST00000378625	-	protein_coding
bins7201_ENSG00000078369	bins7201	ENSG00000078369	GNB1	ENST00000610897	-	protein_coding
bins7351_ENSG00000169885	bins7351	ENSG00000169885	CALML6	ENST00000307786	+	protein_coding
bins7501_ENSG00000178821	bins7501	ENSG00000178821	TMEM52	ENST00000310991	-	protein_coding
bins7651_ENSG00000142609	bins7651	ENSG00000142609	KIAA1751	ENST00000493964	-	protein_coding
bins7801_ENSG00000187730	bins7801	ENSG00000187730	GABRD	ENST00000378585	+	protein_coding
bins7951_ENSG00000067606	bins7951	ENSG00000067606	PRKCZ	ENST00000378567	+	protein_coding
bins8101_ENSG00000162585	bins8101	ENSG00000162585	C1orf86	ENST00000469733	-	protein_coding
bins8251_ENSG00000157933	bins8251	ENSG00000157933	SKI	ENST00000378536	+	protein_coding
bins8401_ENSG00000116151	bins8401	ENSG00000116151	MORN1	ENST00000378531	-	protein_coding
bins8551_ENSG00000157916	bins8551	ENSG00000157916	RER1	ENST00000378513	+	protein_coding
bins8701_ENSG00000157911	bins8701	ENSG00000157911	PEX10	ENST00000447513	-	protein_coding
bins8851_ENSG00000149527	bins8851	ENSG00000149527	PLCH2	ENST00000609981	+	protein_coding
bins9001_ENSG00000157881	bins9001	ENSG00000157881	PANK4	ENST00000378466	-	protein_coding
bins9151_ENSG00000197921	bins9151	ENSG00000197921	HES5	ENST00000378453	-	protein_coding
bins9301_ENSG00000157873	bins9301	ENSG00000157873	TNFRSF14	ENST00000355716	+	protein_coding
bins9451_ENSG00000157870	bins9451	ENSG00000157870	FAM213B	ENST00000444521	+	protein_coding
bins9601_ENSG00000142606	bins9601	ENSG00000142606	MMEL1	ENST00000378412	-	protein_coding
bins9751_ENSG00000215912	bins9751	ENSG00000215912	TTC34	ENST00000401094	-	protein_coding
bins9901_ENSG00000169717	bins9901	ENSG00000169717	ACTRT2	ENST00000378404	+	protein_coding
bins10051_ENSG00000142611	bins10051	ENSG00000142611	PRDM16	ENST00000270722	+	protein_coding
bins10201_ENSG00000130762	bins10201	ENSG00000130762	ARHGEF16	ENST00000378378	+	protein_coding
bins10351_ENSG00000162591	bins10351	ENSG00000162591	MEGF6	ENST00000356575	-	protein_coding
bins10501_ENSG00000158109	bins10501	ENSG00000158109	TPRG1L	ENST00000378344	+	protein_coding
bins10651_ENSG00000078900	bins10651	ENSG00000078900	TP73	ENST00000604074	+	protein_coding
bins10801_ENSG00000116213	bins10801	ENSG00000116213	WRAP73	ENST00000270708	-	protein_coding
bins10951_ENSG00000162592	bins10951	ENSG00000162592	CCDC27	ENST00000294600	+	protein_coding
bins11101_ENSG00000235169	bins11101	ENSG00000235169	SMIM1	ENST00000444870	+	protein_coding
bins11251_ENSG00000130764	bins11251	ENSG00000130764	LRRC47	ENST00000378251	-	protein_coding
bins11401_ENSG00000116198	bins11401	ENSG00000116198	CEP104	ENST00000378230	-	protein_coding
bins11551_ENSG00000169598	bins11551	ENSG00000169598	DFFB	ENST00000338895	+	protein_coding
bins11701_ENSG00000198912	bins11701	ENSG00000198912	C1orf174	ENST00000474140	-	protein_coding
bins11851_ENSG00000196581	bins11851	ENSG00000196581	AJAP1	ENST00000378191	+	protein_coding
bins12001_ENSG00000069424	bins12001	ENSG00000069424	KCNAB2	ENST00000378097	+	protein_coding
bins12151_ENSG00000131697	bins12151	ENSG00000131697	NPHP4	ENST00000622020	-	protein_coding
bins12301_ENSG00000116254	bins12301	ENSG00000116254	CHD5	ENST00000262450	-	protein_coding
bins12451_ENSG00000158286	bins12451	ENSG00000158286	RNF207	ENST00000377939	+	protein_coding
bins12601_ENSG00000116251	bins12601	ENSG00000116251	RPL22	ENST00000471204	-	protein_coding
bins12751_ENSG00000116237	bins12751	ENSG00000116237	ICMT	ENST00000343813	-	protein_coding
bins12901_ENSG00000173673	bins12901	ENSG00000173673	HES3	ENST00000377898	+	protein_coding
bins13051_ENSG00000158292	bins13051	ENSG00000158292	GPR153	ENST00000377893	-	protein_coding
bins13201_ENSG00000097021	bins13201	ENSG00000097021	ACOT7	ENST00000361521	-	protein_coding
bins13351_ENSG00000069812	bins13351	ENSG00000069812	HES2	ENST00000377837	-	protein_coding
bins13501_ENSG00000187017	bins13501	ENSG00000187017	ESPN	ENST00000377828	+	protein_coding
bins13651_ENSG00000215788	bins13651	ENSG00000215788	TNFRSF25	ENST00000356876	-	protein_coding
bins13801_ENSG00000171680	bins13801	ENSG00000171680	PLEKHG5	ENST00000377748	-	protein_coding
bins13951_ENSG00000162408	bins13951	ENSG00000162408	NOL9	ENST00000377705	-	protein_coding
bins14101_ENSG00000173662	bins14101	ENSG00000173662	TAS1R1	ENST00000333172	+	protein_coding
bins14251_ENSG00000204859	bins14251	ENSG00000204859	ZBTB48	ENST00000377674	+	protein_coding
bins14401_ENSG00000116273	bins14401	ENSG00000116273	PHF13	ENST00000377648	+	protein_coding
bins14551_ENSG00000162413	bins14551	ENSG00000162413	KLHL21	ENST00000467612	-	protein_coding
bins14701_ENSG00000041988	bins14701	ENSG00000041988	THAP3	ENST00000377627	+	protein_coding
bins14851_ENSG00000007923	bins14851	ENSG00000007923	DNAJC11	ENST00000377577	-	protein_coding
bins15001_ENSG00000171735	bins15001	ENSG00000171735	CAMTA1	ENST00000303635	+	protein_coding
bins15151_ENSG00000049245	bins15151	ENSG00000049245	VAMP3	ENST00000054666	+	protein_coding
bins15301_ENSG00000049246	bins15301	ENSG00000049246	PER3	ENST00000614998	+	protein_coding
bins15451_ENSG00000049247	bins15451	ENSG00000049247	UTS2	ENST00000377516	-	protein_coding
bins15601_ENSG00000049249	bins15601	ENSG00000049249	TNFRSF9	ENST00000615230	-	protein_coding
bins15751_ENSG00000116288	bins15751	ENSG00000116288	PARK7	ENST00000493373	+	protein_coding
bins15901_ENSG00000116285	bins15901	ENSG00000116285	ERRFI1	ENST00000474874	-	protein_coding
bins16051_ENSG00000162426	bins16051	ENSG00000162426	SLC45A1	ENST00000471889	+	protein_coding
bins16201_ENSG00000142599	bins16201	ENSG00000142599	RERE	ENST00000337907	-	protein_coding
bins16351_ENSG00000074800	bins16351	ENSG00000074800	ENO1	ENST00000234590	-	protein_coding
bins16501_ENSG00000131686	bins16501	ENSG00000131686	CA6	ENST00000377443	+	protein_coding
bins16651_ENSG00000197241	bins16651	ENSG00000197241	SLC2A7	ENST00000400906	-	protein_coding
bins16801_ENSG00000142583	bins16801	ENSG00000142583	SLC2A5	ENST00000486632	-	protein_coding
bins16951_ENSG00000180758	bins16951	ENSG00000180758	GPR157	ENST00000377411	-	protein_coding
bins17101_ENSG00000049239	bins17101	ENSG00000049239	H6PD	ENST00000377403	+	protein_coding
bins17251_ENSG00000171621	bins17251	ENSG00000171621	SPSB1	ENST00000328089	+	protein_coding
bins17401_ENSG00000171612	bins17401	ENSG00000171612	SLC25A33	ENST00000302692	+	protein_coding
bins17551_ENSG00000188807	bins17551	ENSG00000188807	TMEM201	ENST00000340381	+	protein_coding
bins17701_ENSG00000171608	bins17701	ENSG00000171608	PIK3CD	ENST00000536656	+	protein_coding
bins17851_ENSG00000179840	bins17851	ENSG00000179840	C1orf200	ENST00000377320	-	antisense
bins18001_ENSG00000171603	bins18001	ENSG00000171603	CLSTN1	ENST00000377298	-	protein_coding
bins18151_ENSG00000178585	bins18151	ENSG00000178585	CTNNBIP1	ENST00000377263	-	protein_coding
bins18301_ENSG00000162441	bins18301	ENSG00000162441	LZIC	ENST00000377223	-	protein_coding
bins18451_ENSG00000173614	bins18451	ENSG00000173614	NMNAT1	ENST00000377205	+	protein_coding
bins18601_ENSG00000162444	bins18601	ENSG00000162444	RBP7	ENST00000315901	+	protein_coding
bins18751_ENSG00000130939	bins18751	ENSG00000130939	UBE4B	ENST00000343090	+	protein_coding
bins18901_ENSG00000054523	bins18901	ENSG00000054523	KIF1B	ENST00000377086	+	protein_coding
bins19051_ENSG00000142657	bins19051	ENSG00000142657	PGD	ENST00000270776	+	protein_coding
bins19201_ENSG00000251503	bins19201	ENSG00000251503	APITD1-CORT	ENST00000400900	+	protein_coding
bins19351_ENSG00000175279	bins19351	ENSG00000175279	APITD1	ENST00000309048	+	protein_coding
bins19501_ENSG00000241563	bins19501	ENSG00000241563	CORT	ENST00000377049	+	protein_coding
bins19651_ENSG00000142655	bins19651	ENSG00000142655	PEX14	ENST00000356607	+	protein_coding
bins19801_ENSG00000160049	bins19801	ENSG00000160049	DFFA	ENST00000377038	-	protein_coding
bins19951_ENSG00000130940	bins19951	ENSG00000130940	CASZ1	ENST00000377022	-	protein_coding
bins20101_ENSG00000175262	bins20101	ENSG00000175262	C1orf127	ENST00000377004	-	protein_coding
bins20251_ENSG00000277726	bins20251	ENSG00000277726	TARDBP	ENST00000614757	+	protein_coding
bins20401_ENSG00000009724	bins20401	ENSG00000009724	MASP2	ENST00000400897	-	protein_coding
bins20551_ENSG00000116649	bins20551	ENSG00000116649	SRM	ENST00000376957	-	protein_coding
bins20701_ENSG00000171824	bins20701	ENSG00000171824	EXOSC10	ENST00000376936	-	protein_coding
bins20851_ENSG00000171819	bins20851	ENSG00000171819	ANGPTL7	ENST00000376819	+	protein_coding
bins21001_ENSG00000198793	bins21001	ENSG00000198793	MTOR	ENST00000361445	-	protein_coding
bins21151_ENSG00000120942	bins21151	ENSG00000120942	UBIAD1	ENST00000483738	+	protein_coding
bins21301_ENSG00000204624	bins21301	ENSG00000204624	PTCHD2	ENST00000294484	+	protein_coding
bins21451_ENSG00000132879	bins21451	ENSG00000132879	FBXO44	ENST00000376770	+	protein_coding
bins21601_ENSG00000116661	bins21601	ENSG00000116661	FBXO2	ENST00000354287	-	protein_coding
bins21751_ENSG00000116663	bins21751	ENSG00000116663	FBXO6	ENST00000376753	+	protein_coding
bins21901_ENSG00000116670	bins21901	ENSG00000116670	MAD2L2	ENST00000235310	-	protein_coding
bins22051_ENSG00000162490	bins22051	ENSG00000162490	DRAXIN	ENST00000294485	+	protein_coding
bins22201_ENSG00000177674	bins22201	ENSG00000177674	AGTRAP	ENST00000376637	+	protein_coding
bins22351_ENSG00000215910	bins22351	ENSG00000215910	C1orf167	ENST00000433342	+	protein_coding
bins22501_ENSG00000011021	bins22501	ENSG00000011021	CLCN6	ENST00000312413	+	protein_coding
bins22651_ENSG00000177000	bins22651	ENSG00000177000	MTHFR	ENST00000376590	-	protein_coding
bins22801_ENSG00000175206	bins22801	ENSG00000175206	NPPA	ENST00000376476	-	protein_coding
bins22951_ENSG00000120937	bins22951	ENSG00000120937	NPPB	ENST00000376468	-	protein_coding
bins23101_ENSG00000116685	bins23101	ENSG00000116685	KIAA2013	ENST00000376572	-	protein_coding
bins23251_ENSG00000083444	bins23251	ENSG00000083444	PLOD1	ENST00000196061	+	protein_coding
bins23401_ENSG00000116688	bins23401	ENSG00000116688	MFN2	ENST00000444836	+	protein_coding
bins23551_ENSG00000116691	bins23551	ENSG00000116691	MIIP	ENST00000235332	+	protein_coding
bins23701_ENSG00000120949	bins23701	ENSG00000120949	TNFRSF8	ENST00000263932	+	protein_coding
bins23851_ENSG00000028137	bins23851	ENSG00000028137	TNFRSF1B	ENST00000376259	+	protein_coding
bins24001_ENSG00000048707	bins24001	ENSG00000048707	VPS13D	ENST00000620676	+	protein_coding
bins24151_ENSG00000162496	bins24151	ENSG00000162496	DHRS3	ENST00000616661	-	protein_coding
bins24301_ENSG00000204518	bins24301	ENSG00000204518	AADACL4	ENST00000376221	+	protein_coding
bins24451_ENSG00000188984	bins24451	ENSG00000188984	AADACL3	ENST00000620146	+	protein_coding
bins24601_ENSG00000157330	bins24601	ENSG00000157330	C1orf158	ENST00000614859	+	protein_coding
bins24751_ENSG00000116726	bins24751	ENSG00000116726	PRAMEF12	ENST00000357726	+	protein_coding
bins24901_ENSG00000116721	bins24901	ENSG00000116721	PRAMEF1	ENST00000332296	+	protein_coding
bins25051_ENSG00000239810	bins25051	ENSG00000239810	PRAMEF11	ENST00000619922	-	protein_coding
bins25201_ENSG00000120952	bins25201	ENSG00000120952	PRAMEF2	ENST00000240189	+	protein_coding
bins25351_ENSG00000243073	bins25351	ENSG00000243073	PRAMEF4	ENST00000235349	-	protein_coding
bins25501_ENSG00000187545	bins25501	ENSG00000187545	PRAMEF10	ENST00000235347	-	protein_coding
bins25651_ENSG00000204510	bins25651	ENSG00000204510	PRAMEF7	ENST00000616979	+	protein_coding
bins25801_ENSG00000179172	bins25801	ENSG00000179172	HNRNPCL1	ENST00000617044	-	protein_coding
bins25951_ENSG00000274178	bins25951	ENSG00000274178	AC245056.1	ENST00000610289	+	unprocessed_pseudogene
bins26101_ENSG00000232423	bins26101	ENSG00000232423	PRAMEF6	ENST00000613225	-	protein_coding
bins26251_ENSG00000229571	bins26251	ENSG00000229571	PRAMEF26	ENST00000618988	+	protein_coding
bins26401_ENSG00000277058	bins26401	ENSG00000277058	AC245056.3	ENST00000617807	+	protein_coding
bins26551_ENSG00000275774	bins26551	ENSG00000275774	AC245056.2	ENST00000621994	-	protein_coding
bins26701_ENSG00000274764	bins26701	ENSG00000274764	PRAMEF9	ENST00000621259	-	protein_coding
bins26851_ENSG00000270601	bins26851	ENSG00000270601	PRAMEF23	ENST00000622421	+	protein_coding
bins27001_ENSG00000182330	bins27001	ENSG00000182330	PRAMEF8	ENST00000357367	-	protein_coding
bins27151_ENSG00000204481	bins27151	ENSG00000204481	PRAMEF14	ENST00000334600	-	protein_coding
bins27301_ENSG00000204480	bins27301	ENSG00000204480	PRAMEF19	ENST00000376101	-	protein_coding
bins27451_ENSG00000204479	bins27451	ENSG00000204479	PRAMEF17	ENST00000376098	+	protein_coding
bins27601_ENSG00000204478	bins27601	ENSG00000204478	PRAMEF20	ENST00000316412	+	protein_coding
bins27751_ENSG00000162494	bins27751	ENSG00000162494	LRRC38	ENST00000376085	-	protein_coding
bins27901_ENSG00000162493	bins27901	ENSG00000162493	PDPN	ENST00000294489	+	protein_coding
bins28051_ENSG00000116731	bins28051	ENSG00000116731	PRDM2	ENST00000376048	+	protein_coding
bins28201_ENSG00000189337	bins28201	ENSG00000189337	KAZN	ENST00000376030	+	protein_coding
bins28351_ENSG00000171729	bins28351	ENSG00000171729	TMEM51	ENST00000428417	+	protein_coding
bins28501_ENSG00000204464	bins28501	ENSG00000204464	C1orf195	ENST00000424792	-	lincRNA
bins28651_ENSG00000142621	bins28651	ENSG00000142621	FHAD1	ENST00000358897	+	protein_coding
bins28801_ENSG00000142634	bins28801	ENSG00000142634	EFHD2	ENST00000375980	+	protein_coding
bins28951_ENSG00000162438	bins28951	ENSG00000162438	CTRC	ENST00000375943	+	protein_coding
bins29101_ENSG00000142615	bins29101	ENSG00000142615	CELA2A	ENST00000359621	+	protein_coding
bins29251_ENSG00000215704	bins29251	ENSG00000215704	CELA2B	ENST00000494280	+	protein_coding
bins29401_ENSG00000132906	bins29401	ENSG00000132906	CASP9	ENST00000546424	-	protein_coding
bins29551_ENSG00000116138	bins29551	ENSG00000116138	DNAJC16	ENST00000375849	+	protein_coding
bins29701_ENSG00000116771	bins29701	ENSG00000116771	AGMAT	ENST00000375826	-	protein_coding
bins29851_ENSG00000197312	bins29851	ENSG00000197312	DDI2	ENST00000480945	+	protein_coding
bins30001_ENSG00000215695	bins30001	ENSG00000215695	RSC1A1	ENST00000345034	+	protein_coding
bins30151_ENSG00000116786	bins30151	ENSG00000116786	PLEKHM2	ENST00000375799	+	protein_coding
bins30301_ENSG00000162461	bins30301	ENSG00000162461	SLC25A34	ENST00000294454	+	protein_coding
bins30451_ENSG00000162460	bins30451	ENSG00000162460	TMEM82	ENST00000375782	+	protein_coding
bins30601_ENSG00000162458	bins30601	ENSG00000162458	FBLIM1	ENST00000375771	+	protein_coding
bins30751_ENSG00000065526	bins30751	ENSG00000065526	SPEN	ENST00000375759	+	protein_coding
bins30901_ENSG00000116809	bins30901	ENSG00000116809	ZBTB17	ENST00000375733	-	protein_coding
bins31051_ENSG00000183888	bins31051	ENSG00000183888	C1orf64	ENST00000329454	+	protein_coding
bins31201_ENSG00000186510	bins31201	ENSG00000186510	CLCNKA	ENST00000464764	+	protein_coding
bins31351_ENSG00000173641	bins31351	ENSG00000173641	HSPB7	ENST00000375718	-	protein_coding
bins31501_ENSG00000184908	bins31501	ENSG00000184908	CLCNKB	ENST00000619181	+	protein_coding
bins31651_ENSG00000185519	bins31651	ENSG00000185519	FAM131C	ENST00000375662	-	protein_coding
bins31801_ENSG00000142627	bins31801	ENSG00000142627	EPHA2	ENST00000358432	-	protein_coding
bins31951_ENSG00000142632	bins31951	ENSG00000142632	ARHGEF19	ENST00000270747	-	protein_coding
bins32101_ENSG00000132881	bins32101	ENSG00000132881	RSG1	ENST00000375599	-	protein_coding
bins32251_ENSG00000037637	bins32251	ENSG00000037637	FBXO42	ENST00000375592	-	protein_coding
bins32401_ENSG00000055070	bins32401	ENSG00000055070	SZRD1	ENST00000475078	+	protein_coding
bins32551_ENSG00000187144	bins32551	ENSG00000187144	SPATA21	ENST00000466212	-	protein_coding
bins32701_ENSG00000157191	bins32701	ENSG00000157191	NECAP2	ENST00000337132	+	protein_coding
bins32851_ENSG00000268991	bins32851	ENSG00000268991	FAM231C	ENST00000600179	-	protein_coding
bins33001_ENSG00000219481	bins33001	ENSG00000219481	NBPF1	ENST00000430580	-	protein_coding
bins33151_ENSG00000237847	bins33151	ENSG00000237847	FAM231A	ENST00000434336	+	protein_coding
bins33301_ENSG00000058453	bins33301	ENSG00000058453	CROCC	ENST00000466256	+	protein_coding
bins33451_ENSG00000117122	bins33451	ENSG00000117122	MFAP2	ENST00000375535	-	protein_coding
bins33601_ENSG00000159363	bins33601	ENSG00000159363	ATP13A2	ENST00000452699	-	protein_coding
bins33751_ENSG00000117118	bins33751	ENSG00000117118	SDHB	ENST00000375499	-	protein_coding
bins33901_ENSG00000117115	bins33901	ENSG00000117115	PADI2	ENST00000375486	-	protein_coding
bins34051_ENSG00000142623	bins34051	ENSG00000142623	PADI1	ENST00000375471	+	protein_coding
bins34201_ENSG00000142619	bins34201	ENSG00000142619	PADI3	ENST00000375460	+	protein_coding
bins34351_ENSG00000159339	bins34351	ENSG00000159339	PADI4	ENST00000375448	+	protein_coding
bins34501_ENSG00000276747	bins34501	ENSG00000276747	PADI6	ENST00000619609	+	protein_coding
bins34651_ENSG00000179051	bins34651	ENSG00000179051	RCC2	ENST00000375436	-	protein_coding
bins34801_ENSG00000074964	bins34801	ENSG00000074964	ARHGEF10L	ENST00000361221	+	protein_coding
bins34951_ENSG00000117148	bins34951	ENSG00000117148	ACTL8	ENST00000375406	+	protein_coding
bins35101_ENSG00000117154	bins35101	ENSG00000117154	IGSF21	ENST00000251296	+	protein_coding
bins35251_ENSG00000179023	bins35251	ENSG00000179023	KLHDC7A	ENST00000400664	+	protein_coding
bins35401_ENSG00000009709	bins35401	ENSG00000009709	PAX7	ENST00000420770	+	protein_coding
bins35551_ENSG00000179002	bins35551	ENSG00000179002	TAS1R2	ENST00000375371	-	protein_coding
bins35701_ENSG00000159423	bins35701	ENSG00000159423	ALDH4A1	ENST00000375341	-	protein_coding
bins35851_ENSG00000255275	bins35851	ENSG00000255275	RP13-279N23.2	ENST00000494072	-	protein_coding
bins36001_ENSG00000169991	bins36001	ENSG00000169991	IFFO2	ENST00000455833	-	protein_coding
bins36151_ENSG00000127481	bins36151	ENSG00000127481	UBR4	ENST00000375254	-	protein_coding
bins36301_ENSG00000053372	bins36301	ENSG00000053372	MRTO4	ENST00000330263	+	protein_coding
bins36451_ENSG00000127463	bins36451	ENSG00000127463	EMC1	ENST00000477853	-	protein_coding
bins36601_ENSG00000162482	bins36601	ENSG00000162482	AKR7A3	ENST00000361640	-	protein_coding
bins36751_ENSG00000053371	bins36751	ENSG00000053371	AKR7A2	ENST00000235835	-	protein_coding
bins36901_ENSG00000040487	bins36901	ENSG00000040487	PQLC2	ENST00000375155	+	protein_coding
bins37051_ENSG00000077549	bins37051	ENSG00000077549	CAPZB	ENST00000264203	-	protein_coding
bins37201_ENSG00000173436	bins37201	ENSG00000173436	MINOS1	ENST00000617872	+	protein_coding
bins37351_ENSG00000270136	bins37351	ENSG00000270136	MINOS1-NBL1	ENST00000602662	+	protein_coding
bins37501_ENSG00000158747	bins37501	ENSG00000158747	NBL1	ENST00000428975	+	protein_coding
bins37651_ENSG00000158748	bins37651	ENSG00000158748	HTR6	ENST00000289753	+	protein_coding
bins37801_ENSG00000162542	bins37801	ENSG00000162542	TMCO4	ENST00000294543	-	protein_coding
bins37951_ENSG00000178828	bins37951	ENSG00000178828	RNF186	ENST00000375121	-	protein_coding
bins38101_ENSG00000169914	bins38101	ENSG00000169914	OTUD3	ENST00000375120	+	protein_coding
bins38251_ENSG00000188784	bins38251	ENSG00000188784	PLA2G2E	ENST00000375116	-	protein_coding
bins38401_ENSG00000188257	bins38401	ENSG00000188257	PLA2G2A	ENST00000375111	-	protein_coding
bins38551_ENSG00000127472	bins38551	ENSG00000127472	PLA2G5	ENST00000486277	+	protein_coding
bins38701_ENSG00000117215	bins38701	ENSG00000117215	PLA2G2D	ENST00000375105	-	protein_coding
bins38851_ENSG00000158786	bins38851	ENSG00000158786	PLA2G2F	ENST00000375102	+	protein_coding
bins39001_ENSG00000187980	bins39001	ENSG00000187980	PLA2G2C	ENST00000429261	-	protein_coding
bins39151_ENSG00000162543	bins39151	ENSG00000162543	UBXN10	ENST00000375099	+	protein_coding
bins39301_ENSG00000158816	bins39301	ENSG00000158816	VWA5B1	ENST00000289815	+	protein_coding
bins39451_ENSG00000162545	bins39451	ENSG00000162545	CAMK2N1	ENST00000375078	-	protein_coding
bins39601_ENSG00000090432	bins39601	ENSG00000090432	MUL1	ENST00000264198	-	protein_coding
bins39751_ENSG00000183114	bins39751	ENSG00000183114	FAM43B	ENST00000332947	+	protein_coding
bins39901_ENSG00000158825	bins39901	ENSG00000158825	CDA	ENST00000375071	+	protein_coding
bins40051_ENSG00000158828	bins40051	ENSG00000158828	PINK1	ENST00000321556	+	protein_coding
bins40201_ENSG00000244038	bins40201	ENSG00000244038	DDOST	ENST00000415136	-	protein_coding
bins40351_ENSG00000117245	bins40351	ENSG00000117245	KIF17	ENST00000247986	-	protein_coding
bins40501_ENSG00000189410	bins40501	ENSG00000189410	SH2D5	ENST00000460804	-	protein_coding
bins40651_ENSG00000127483	bins40651	ENSG00000127483	HP1BP3	ENST00000312239	-	protein_coding
bins40801_ENSG00000075151	bins40801	ENSG00000075151	EIF4G3	ENST00000374935	-	protein_coding
bins40951_ENSG00000117298	bins40951	ENSG00000117298	ECE1	ENST00000415912	-	protein_coding
bins41101_ENSG00000142794	bins41101	ENSG00000142794	NBPF3	ENST00000318220	+	protein_coding
bins41251_ENSG00000162551	bins41251	ENSG00000162551	ALPL	ENST00000374840	+	protein_coding
bins41401_ENSG00000076864	bins41401	ENSG00000076864	RAP1GAP	ENST00000290101	-	protein_coding
bins41551_ENSG00000090686	bins41551	ENSG00000090686	USP48	ENST00000308271	-	protein_coding
