chr	str	end	name	length	CpG%	GC%
chr1	2586491	2591469	ENSG00000157870	4978	0.044404	0.645842
chr1	2590639	2632990	ENSG00000142606	42351	0.024699	0.549409
chr1	2635976	2801721	ENSG00000215912	165745	0.023187	0.609685
chr1	3021483	3022903	ENSG00000169717	1420	0.045807	0.614789
chr1	3069168	3438621	ENSG00000142611	369453	0.033386	0.59055
chr1	3454426	3481113	ENSG00000130762	26687	0.034138	0.630794
chr1	3489920	3611495	ENSG00000162591	121575	0.029505	0.626416
chr1	3625002	3630127	ENSG00000158109	5125	0.035519	0.522146
chr1	3652520	3736201	ENSG00000078900	83681	0.028274	0.595237
chr1	3630767	3652761	ENSG00000116213	21994	0.044196	0.552514
chr1	3752398	3771645	ENSG00000162592	19247	0.022134	0.539045
chr1	3772788	3775982	ENSG00000235169	3194	0.036016	0.649029
chr1	3778558	3796504	ENSG00000130764	17946	0.032321	0.547086
chr1	3812081	3857214	ENSG00000116198	45133	0.022113	0.479184
chr1	3857267	3885429	ENSG00000169598	28162	0.025532	0.516654
chr1	3889125	3900293	ENSG00000198912	11168	0.025432	0.493284
chr1	4654732	4792534	ENSG00000196581	137802	0.021404	0.53201
chr1	5991466	6101193	ENSG00000069424	109727	0.024264	0.555794
chr1	5862811	5992473	ENSG00000131697	129662	0.021154	0.497865
chr1	6101793	6180123	ENSG00000116254	78330	0.024601	0.567037
chr1	6205475	6221299	ENSG00000158286	15824	0.034191	0.573243
chr1	6181269	6209389	ENSG00000116251	28120	0.027917	0.506046
chr1	6221193	6235972	ENSG00000116237	14779	0.025105	0.495906
chr1	6244192	6245578	ENSG00000173673	1386	0.062094	0.660173
chr1	6247346	6260975	ENSG00000158292	13629	0.038964	0.603126
chr1	6264269	6394391	ENSG00000097021	130122	0.024394	0.549643
chr1	6412418	6424670	ENSG00000069812	12252	0.037711	0.575171
chr1	6424788	6461370	ENSG00000187017	36582	0.035401	0.601389
chr1	6461151	6466195	ENSG00000215788	5044	0.0349	0.597145
chr1	6466092	6520061	ENSG00000171680	53969	0.02948	0.588486
chr1	6521347	6554535	ENSG00000162408	33188	0.02058	0.477823
chr1	6555181	6579757	ENSG00000173662	24576	0.02177	0.525106
chr1	6580001	6589280	ENSG00000204859	9279	0.024035	0.577756
chr1	6613685	6624033	ENSG00000116273	10348	0.042718	0.549961
chr1	6590724	6614607	ENSG00000162413	23883	0.038272	0.544655
chr1	6624866	6635586	ENSG00000041988	10720	0.033585	0.567724
chr1	6634168	6701924	ENSG00000007923	67756	0.017947	0.466025
chr1	6785324	7769706	ENSG00000171735	984382	0.012182	0.41397
chr1	7771269	7781432	ENSG00000049245	10163	0.018599	0.427728
chr1	7784320	7845177	ENSG00000049246	60857	0.013179	0.405327
chr1	7843083	7853512	ENSG00000049247	10429	0.014193	0.408189
chr1	7915894	7943165	ENSG00000049249	27271	0.015585	0.439478
chr1	7954291	7985505	ENSG00000116288	31214	0.018934	0.454091
chr1	8004404	8026308	ENSG00000116285	21904	0.01598	0.427958
chr1	8317826	8344167	ENSG00000162426	26341	0.029651	0.523594
chr1	8352397	8817643	ENSG00000142599	465246	0.016293	0.460978
chr1	8861002	8879249	ENSG00000074800	18247	0.022909	0.502329
chr1	8945867	8975092	ENSG00000131686	29225	0.01687	0.480582
chr1	9003300	9026345	ENSG00000197241	23045	0.021828	0.524365
chr1	9035107	9088478	ENSG00000142583	53371	0.018156	0.479174
chr1	9100305	9129170	ENSG00000180758	28865	0.020822	0.500606
chr1	9234775	9271337	ENSG00000049239	36562	0.023577	0.52292
chr1	9292880	9369532	ENSG00000171621	76652	0.024253	0.542856
chr1	9539482	9585179	ENSG00000171612	45697	0.018908	0.455019
chr1	9588922	9614873	ENSG00000188807	25951	0.030058	0.593388
chr1	9651732	9729114	ENSG00000171608	77382	0.023378	0.513298
chr1	9652610	9654586	ENSG00000179840	1976	0.03443	0.553138
chr1	9729026	9824526	ENSG00000171603	95500	0.021424	0.473665
chr1	9848276	9910336	ENSG00000178585	62060	0.018321	0.513906
chr1	9922113	9943407	ENSG00000162441	21294	0.016766	0.43895
chr1	9943428	9985501	ENSG00000173614	42073	0.016709	0.461293
chr1	9997206	10016020	ENSG00000162444	18814	0.022378	0.483257
chr1	10032832	10181239	ENSG00000130939	148407	0.014583	0.439045
chr1	10210805	10381603	ENSG00000054523	170798	0.012212	0.41221
chr1	10398592	10420144	ENSG00000142657	21552	0.023247	0.476847
chr1	10430102	10452153	ENSG00000251503	22051	0.022086	0.479207
chr1	10430443	10442809	ENSG00000175279	12366	0.022078	0.468866
chr1	10449719	10451902	ENSG00000241563	2183	0.022915	0.471828
chr1	10472288	10630758	ENSG00000142655	158470	0.016313	0.445396
chr1	10456522	10472526	ENSG00000160049	16004	0.022621	0.485254
chr1	10636604	10796650	ENSG00000130940	160046	0.030525	0.583079
chr1	10946471	10982037	ENSG00000175262	35566	0.020132	0.521537
chr1	11012662	11030528	ENSG00000277726	17866	0.017352	0.429027
chr1	11026523	11047233	ENSG00000009724	20710	0.018543	0.502173
chr1	11054584	11060024	ENSG00000116649	5440	0.041736	0.598713
chr1	11066618	11099881	ENSG00000171824	33263	0.017918	0.463819
chr1	11189341	11195981	ENSG00000171819	6640	0.012653	0.463855
chr1	11106535	11262507	ENSG00000198793	155972	0.011962	0.447276
chr1	11273206	11296049	ENSG00000120942	22843	0.015629	0.482117
chr1	11479166	11537584	ENSG00000204624	58418	0.018608	0.528501
chr1	11654375	11663327	ENSG00000132879	8952	0.030946	0.549486
chr1	11648367	11655785	ENSG00000116661	7418	0.042874	0.611755
chr1	11664124	11674354	ENSG00000116663	10230	0.029817	0.552786
chr1	11674480	11691650	ENSG00000116670	17170	0.028831	0.539138
chr1	11691729	11725857	ENSG00000162490	34128	0.022387	0.53396
chr1	11736084	11754802	ENSG00000177674	18718	0.019928	0.543701
chr1	11761787	11789585	ENSG00000215910	27798	0.02083	0.551874
chr1	11806096	11843144	ENSG00000011021	37048	0.018733	0.477921
chr1	11785723	11806920	ENSG00000177000	21197	0.022834	0.545313
chr1	11845709	11848345	ENSG00000175206	2636	0.021632	0.540592
chr1	11857464	11858931	ENSG00000120937	1467	0.02251	0.544649
chr1	11919591	11926428	ENSG00000116685	6837	0.036132	0.557993
chr1	11934205	11975538	ENSG00000083444	41333	0.019694	0.535383
chr1	11980181	12013514	ENSG00000116688	33333	0.020071	0.511175
chr1	12019466	12032045	ENSG00000116691	12579	0.026872	0.556165
chr1	12063377	12144207	ENSG00000120949	80830	0.01862	0.505468
chr1	12167003	12209228	ENSG00000028137	42225	0.020652	0.553937
chr1	12230067	12512047	ENSG00000048707	281980	0.012492	0.423932
chr1	12567910	12617731	ENSG00000162496	49821	0.018547	0.513077
chr1	12644547	12667086	ENSG00000204518	22539	0.013488	0.472381
chr1	12716115	12728759	ENSG00000188984	12644	0.010124	0.461167
chr1	12746215	12763699	ENSG00000157330	17484	0.009037	0.438172
chr1	12774841	12777906	ENSG00000116726	3065	0.014034	0.532137
chr1	12791397	12796628	ENSG00000116721	5231	0.011855	0.464729
chr1	12824605	12831410	ENSG00000239810	6805	0.009406	0.480235
chr1	12857086	12861909	ENSG00000120952	4823	0.011199	0.471905
chr1	12879224	12886201	ENSG00000243073	6977	0.009461	0.482012
chr1	12892896	12898270	ENSG00000187545	5374	0.010422	0.478601
chr1	12916610	12920482	ENSG00000204510	3872	0.008783	0.500775
chr1	12847377	12947578	ENSG00000179172	100201	0.009992	0.457448
chr1	13029339	13032130	ENSG00000274178	2791	0.015412	0.501254
chr1	12938472	13056491	ENSG00000232423	118019	0.010804	0.456715
chr1	13060853	13077884	ENSG00000229571	17031	0.010276	0.45153
chr1	13060869	13062229	ENSG00000277058	1360	0.022811	0.469853
chr1	13115496	13116854	ENSG00000275774	1358	0.022845	0.460972
chr1	13049476	13155947	ENSG00000274764	106471	0.010252	0.456628
chr1	13254212	13263314	ENSG00000270601	9102	0.009889	0.475939
chr1	13281035	13285174	ENSG00000182330	4139	0.008458	0.498913
chr1	13342034	13347134	ENSG00000204481	5100	0.011179	0.469804
chr1	13369067	13371693	ENSG00000204480	2626	0.014476	0.504189
chr1	13389632	13392629	ENSG00000204479	2997	0.00968	0.501502
chr1	13410450	13421328	ENSG00000204478	10878	0.012044	0.474995
chr1	13474977	13514048	ENSG00000162494	39071	0.019759	0.501472
chr1	13583465	13617957	ENSG00000162493	34492	0.017367	0.453844
chr1	13700198	13825079	ENSG00000116731	124881	0.014243	0.41303
chr1	14598704	15118043	ENSG00000189337	519339	0.013312	0.458758
chr1	15152532	15220480	ENSG00000171729	67948	0.017558	0.48412
chr1	15164344	15171317	ENSG00000204464	6973	0.014056	0.433673
chr1	15247272	15400283	ENSG00000142621	153011	0.014783	0.463839
chr1	15409895	15430343	ENSG00000142634	20448	0.026312	0.567733
chr1	15438439	15449242	ENSG00000162438	10803	0.01796	0.518375
chr1	15456728	15472091	ENSG00000142615	15363	0.015102	0.482783
chr1	15465909	15491400	ENSG00000215704	25491	0.015653	0.487584
chr1	15490832	15526534	ENSG00000132906	35702	0.018263	0.487004
chr1	15526813	15592379	ENSG00000116138	65566	0.016167	0.446725
chr1	15572353	15585110	ENSG00000116771	12757	0.02391	0.496355
chr1	15617500	15669044	ENSG00000197312	51544	0.013057	0.423968
chr1	15659869	15661722	ENSG00000215695	1853	0.010259	0.428494
chr1	15684332	15734769	ENSG00000116786	50437	0.021532	0.519975
chr1	15736405	15741396	ENSG00000162461	4991	0.025852	0.58866
chr1	15742422	15747982	ENSG00000162460	5560	0.027163	0.588849
chr1	15756607	15786594	ENSG00000162458	29987	0.023478	0.535299
chr1	15847864	15940460	ENSG00000065526	92596	0.016416	0.429867
chr1	15941869	15976132	ENSG00000116809	34263	0.021423	0.512185
chr1	16004236	16008807	ENSG00000183888	4571	0.015536	0.523299
chr1	16018875	16034050	ENSG00000186510	15175	0.020232	0.599077
chr1	16014028	16019594	ENSG00000173641	5566	0.026235	0.610313
chr1	16043736	16057308	ENSG00000184908	13572	0.019232	0.592617
chr1	16057769	16073632	ENSG00000185519	15863	0.020552	0.579525
chr1	16124337	16156087	ENSG00000142627	31750	0.025198	0.573291
chr1	16197854	16212609	ENSG00000142632	14755	0.022367	0.573365
chr1	16231700	16237162	ENSG00000132881	5462	0.02234	0.540644
chr1	16246839	16352454	ENSG00000037637	105615	0.013332	0.438154
chr1	16352575	16398145	ENSG00000055070	45570	0.019158	0.481018
chr1	16387117	16437424	ENSG00000187144	50307	0.015823	0.503687
chr1	16440672	16460078	ENSG00000157191	19406	0.018603	0.494022
chr1	16539066	16539575	ENSG00000268991	509	0.019685	0.569745
chr1	16562319	16613562	ENSG00000219481	51243	0.010636	0.439884
chr1	16673003	16673512	ENSG00000237847	509	0.015748	0.583497
chr1	16740273	16972979	ENSG00000058453	232706	0.01474	0.462778
chr1	16974502	16980835	ENSG00000117122	6333	0.032059	0.626243
chr1	16985958	17011928	ENSG00000159363	25970	0.027109	0.572314
chr1	17018722	17054170	ENSG00000117118	35448	0.012215	0.435116
chr1	17066761	17119435	ENSG00000117115	52674	0.01572	0.517485
chr1	17205126	17246005	ENSG00000142623	40879	0.014874	0.533061
chr1	17249098	17284233	ENSG00000142619	35135	0.01426	0.514814
chr1	17308195	17364004	ENSG00000159339	55809	0.015374	0.490566
chr1	17372196	17401699	ENSG00000276747	29503	0.016541	0.520659
chr1	17406760	17439724	ENSG00000179051	32964	0.027667	0.516776
chr1	17539835	17697874	ENSG00000074964	158039	0.017093	0.539522
chr1	17755313	17827063	ENSG00000117148	71750	0.013589	0.481533
chr1	18107746	18378483	ENSG00000117154	270737	0.015113	0.504626
chr1	18480982	18486126	ENSG00000179023	5144	0.031694	0.57776
chr1	18631006	18748866	ENSG00000009709	117860	0.020924	0.525729
chr1	18839599	18859682	ENSG00000179002	20083	0.012798	0.496689
chr1	18871430	18902781	ENSG00000159423	31351	0.022201	0.550381
chr1	18849273	18921121	ENSG00000255275	71848	0.020669	0.53751
chr1	18904281	18956686	ENSG00000169991	52405	0.021449	0.543326
chr1	19074506	19210276	ENSG00000127481	135770	0.011342	0.445516
chr1	19251539	19260128	ENSG00000053372	8589	0.023754	0.534987
chr1	19215664	19251552	ENSG00000127463	35888	0.014183	0.466312
chr1	19282558	19289250	ENSG00000162482	6692	0.027051	0.549611
chr1	19303965	19312146	ENSG00000053371	8181	0.021149	0.528786
chr1	19312326	19329300	ENSG00000040487	16974	0.022447	0.549311
chr1	19338776	19485539	ENSG00000077549	146763	0.017783	0.496334
chr1	19596977	19629821	ENSG00000173436	32844	0.01291	0.429576
chr1	19596979	19658056	ENSG00000270136	61077	0.018076	0.47481
chr1	19640554	19658456	ENSG00000158747	17902	0.03011	0.569769
chr1	19665287	19679562	ENSG00000158748	14275	0.021157	0.529317
chr1	19682213	19799945	ENSG00000162542	117732	0.013993	0.491944
chr1	19814029	19815278	ENSG00000178828	1249	0.027244	0.581265
chr1	19882513	19912945	ENSG00000169914	30432	0.012947	0.412789
chr1	19920009	19923617	ENSG00000188784	3608	0.021625	0.596175
chr1	19975431	19980416	ENSG00000188257	4985	0.009831	0.520963
chr1	20028179	20091190	ENSG00000127472	63011	0.00903	0.446065
chr1	20111939	20119566	ENSG00000117215	7627	0.011933	0.505966
chr1	20139326	20150386	ENSG00000158786	11060	0.017271	0.560127
chr1	20161253	20177424	ENSG00000187980	16171	0.015152	0.516851
chr1	20186085	20196048	ENSG00000162543	9963	0.014053	0.472348
chr1	20290919	20354894	ENSG00000158816	63975	0.01485	0.50365
chr1	20482391	20486220	ENSG00000162545	3829	0.065308	0.57613
chr1	20499448	20508161	ENSG00000090432	8713	0.018365	0.475267
chr1	20552439	20555010	ENSG00000183114	2571	0.084436	0.679502
chr1	20588948	20618908	ENSG00000158825	29960	0.015488	0.485347
chr1	20633455	20651511	ENSG00000158828	18056	0.020382	0.507809
chr1	20651767	20661544	ENSG00000244038	9777	0.023016	0.506086
chr1	20664014	20718017	ENSG00000117245	54003	0.022258	0.525452
chr1	20719732	20732837	ENSG00000189410	13105	0.031517	0.613888
chr1	20742661	20787323	ENSG00000127483	44662	0.015181	0.411692
chr1	20806292	21176888	ENSG00000075151	370596	0.010032	0.396427
chr1	21217247	21345504	ENSG00000117298	128257	0.018693	0.516818
chr1	21440128	21485005	ENSG00000142794	44877	0.011075	0.430532
chr1	21509372	21578412	ENSG00000162551	69040	0.01883	0.516324
chr1	21596215	21669363	ENSG00000076864	73148	0.021177	0.566318
chr1	21678298	21783606	ENSG00000090686	105308	0.012252	0.41458
chr1	21812265	21825221	ENSG00000187942	12956	0.024855	0.542914
chr1	21822245	21937297	ENSG00000142798	115052	0.022684	0.562186
chr1	21977021	21998642	ENSG00000219073	21621	0.016374	0.496046
chr1	22001656	22012539	ENSG00000142789	10883	0.01792	0.506294
chr1	22052627	22092946	ENSG00000070831	40319	0.014361	0.418165
chr1	22117305	22143969	ENSG00000162552	26664	0.026104	0.577033
chr1	22451851	22531157	ENSG00000184677	79306	0.010895	0.426979
chr1	22563564	22603594	ENSG00000070886	40030	0.024257	0.567924
chr1	22636506	22639608	ENSG00000173372	3102	0.017414	0.568021
chr1	22643630	22648110	ENSG00000159189	4480	0.018531	0.546652
chr1	22652762	22661538	ENSG00000173369	8776	0.012764	0.511395
chr1	22710839	22921500	ENSG00000133216	210661	0.015553	0.521829
chr1	22953043	22965338	ENSG00000215906	12295	0.02367	0.52257
chr1	23010834	23015850	ENSG00000227868	5016	0.014158	0.458931
chr1	23019448	23083689	ENSG00000004487	64241	0.009418	0.391635
chr1	23084023	23177808	ENSG00000169641	93785	0.012561	0.432809
chr1	23191895	23194729	ENSG00000179546	2834	0.021179	0.48765
chr1	23303771	23344336	ENSG00000125944	40565	0.012696	0.388463
chr1	23368997	23371839	ENSG00000249087	2842	0.028863	0.515482
chr1	23359448	23369442	ENSG00000125945	9994	0.021515	0.460076
chr1	23381061	23424740	ENSG00000204219	43679	0.01534	0.485565
chr1	23428563	23484568	ENSG00000088280	56005	0.015052	0.496706
chr1	23506430	23531220	ENSG00000007968	24790	0.015531	0.51662
chr1	23557918	23559794	ENSG00000117318	1876	0.0544	0.573028
chr1	23581495	23640568	ENSG00000197880	59073	0.015016	0.495658
chr1	23691779	23696425	ENSG00000142676	4646	0.016577	0.461903
chr1	23743155	23762059	ENSG00000011007	18904	0.018992	0.456993
chr1	23778405	23788232	ENSG00000057757	9827	0.019845	0.445813
chr1	23790970	23795539	ENSG00000011009	4569	0.028021	0.623769
chr1	23795599	23800804	ENSG00000117308	5205	0.031706	0.600961
chr1	23801885	23838620	ENSG00000117305	36735	0.014401	0.468436
chr1	23845077	23868294	ENSG00000179163	23217	0.018134	0.457036
chr1	23870526	23913362	ENSG00000188822	42836	0.015898	0.476352
chr1	23959109	23963462	ENSG00000189266	4353	0.030101	0.43717
chr1	23964804	23980927	ENSG00000188529	16123	0.014576	0.39025
chr1	24056035	24112175	ENSG00000142661	56140	0.017029	0.526345
chr1	24119771	24143121	ENSG00000142677	23350	0.012806	0.483983
chr1	24154157	24187959	ENSG00000185436	33802	0.015029	0.473729
chr1	24319322	24364482	ENSG00000158055	45160	0.015855	0.510053
chr1	24415794	24472976	ENSG00000001461	57182	0.011525	0.449949
chr1	24356999	24416934	ENSG00000001460	59935	0.013465	0.440911
chr1	24502351	24541040	ENSG00000117602	38689	0.01693	0.422601
chr1	24556111	24609328	ENSG00000184454	53217	0.014995	0.479057
chr1	24631716	24673267	ENSG00000133226	41551	0.015957	0.417607
chr1	24745357	24844324	ENSG00000169504	98967	0.014035	0.416694
chr1	24899511	24965121	ENSG00000020633	65610	0.024341	0.54798
chr1	25222679	25232502	ENSG00000117614	9823	0.015781	0.436119
chr1	25272393	25330445	ENSG00000187010	58052	0.01335	0.466633
chr1	25337917	25362361	ENSG00000183726	24444	0.014933	0.42043
chr1	25242237	25338213	ENSG00000117616	95976	0.016556	0.46396
chr1	25362249	25430192	ENSG00000188672	67943	0.013512	0.468039
chr1	25430858	25500209	ENSG00000204178	69351	0.010627	0.406872
chr1	25543580	25568886	ENSG00000157978	25306	0.018218	0.546234
chr1	25617468	25786207	ENSG00000117643	168739	0.013102	0.464199
chr1	25800176	25818224	ENSG00000162430	18048	0.022054	0.567598
chr1	25811470	25823744	ENSG00000255054	12274	0.025666	0.560534
chr1	25818640	25832942	ENSG00000117640	14302	0.017831	0.494336
chr1	25831913	25859458	ENSG00000127423	27545	0.012416	0.425413
chr1	25861210	25871253	ENSG00000182749	10043	0.016829	0.5116
chr1	25884181	25906991	ENSG00000117632	22810	0.01837	0.482376
chr1	25959767	25998157	ENSG00000158006	38390	0.012738	0.45676
chr1	26019884	26036464	ENSG00000158008	16580	0.018517	0.554101
chr1	26037252	26046133	ENSG00000158014	8881	0.019932	0.558946
chr1	26051304	26068436	ENSG00000158022	17132	0.013543	0.499183
chr1	26111165	26125543	ENSG00000175087	14378	0.022884	0.431006
chr1	26159020	26162628	ENSG00000197245	3608	0.043526	0.597284
chr1	26169871	26172060	ENSG00000142684	2189	0.043876	0.616263
chr1	26177403	26189886	ENSG00000142675	12483	0.017225	0.552351
chr1	26190561	26202968	ENSG00000188782	12407	0.016685	0.50802
chr1	26234153	26279038	ENSG00000130695	44885	0.013925	0.447655
chr1	26279176	26281522	ENSG00000142669	2346	0.040512	0.617221
chr1	26317957	26320523	ENSG00000169442	2566	0.025341	0.545596
chr1	26281328	26318363	ENSG00000158062	37035	0.017713	0.532496
chr1	26321859	26354130	ENSG00000176092	32271	0.017663	0.521583
chr1	26361634	26374522	ENSG00000176083	12888	0.01389	0.524597
chr1	26410778	26429722	ENSG00000131914	18944	0.015679	0.465741
chr1	26432282	26471294	ENSG00000117682	39012	0.012407	0.454681
chr1	26472450	26475972	ENSG00000198830	3522	0.038909	0.483532
chr1	26529761	26575030	ENSG00000117676	45269	0.016789	0.535134
chr1	26696033	26782104	ENSG00000117713	86071	0.013977	0.459307
chr1	26787472	26798398	ENSG00000060642	10926	0.020778	0.483434
chr1	26826710	26857602	ENSG00000204160	30892	0.016574	0.515862
chr1	26863138	26864457	ENSG00000175793	1319	0.0478	0.627748
chr1	26876133	26890297	ENSG00000142751	14164	0.018993	0.487433
chr1	26900238	26946862	ENSG00000090273	46624	0.018038	0.484321
chr1	26890488	26900466	ENSG00000198746	9978	0.019144	0.501203
chr1	26911489	26913966	ENSG00000131910	2477	0.01454	0.534921
chr1	26949562	26960406	ENSG00000175707	10844	0.020751	0.512818
chr1	26993707	27000898	ENSG00000253368	7191	0.031154	0.557781
chr1	27005020	27012836	ENSG00000158246	7816	0.024696	0.555015
chr1	27098815	27166981	ENSG00000090020	68166	0.01558	0.517076
chr1	27234516	27308633	ENSG00000142784	74117	0.013911	0.465116
chr1	27322145	27336400	ENSG00000186501	14255	0.019714	0.518765
chr1	27342020	27353937	ENSG00000142765	11917	0.033568	0.582361
chr1	27355184	27366892	ENSG00000142733	11708	0.037841	0.60796
chr1	27369112	27374824	ENSG00000142748	5712	0.016284	0.544468
chr1	27379176	27383380	ENSG00000174950	4204	0.021889	0.604662
chr1	27392644	27395814	ENSG00000181773	3170	0.029031	0.579811
chr1	27404226	27490158	ENSG00000158195	85932	0.013604	0.440034
chr1	27534035	27604431	ENSG00000126705	70396	0.021933	0.563881
chr1	27612064	27635277	ENSG00000000938	23213	0.0193	0.529746
chr1	27666061	27672218	ENSG00000126709	6157	0.023554	0.500406
chr1	27725979	27763122	ENSG00000009780	37143	0.012573	0.433514
chr1	27773183	27824452	ENSG00000117758	51269	0.011703	0.414071
chr1	27830778	27851676	ENSG00000117751	20898	0.015696	0.444349
chr1	27872543	27886685	ENSG00000130775	14142	0.022417	0.540376
chr1	27891524	27914746	ENSG00000117748	23222	0.01658	0.441564
chr1	27934993	27959157	ENSG00000130768	24164	0.014319	0.498593
chr1	27959462	27968096	ENSG00000158156	8634	0.025947	0.555594
chr1	27970344	28088696	ENSG00000158161	118352	0.009182	0.397968
chr1	28147166	28193936	ENSG00000169403	46770	0.016207	0.48003
chr1	28199456	28233025	ENSG00000126698	33569	0.014121	0.431589
chr1	28236109	28246906	ENSG00000130770	10797	0.018711	0.443642
chr1	28259527	28282491	ENSG00000130766	22964	0.019379	0.500653
chr1	28329002	28335967	ENSG00000130772	6965	0.020247	0.460445
chr1	28369582	28500369	ENSG00000204138	130787	0.012702	0.424022
chr1	28505943	28539300	ENSG00000180198	33357	0.023384	0.500015
chr1	28553085	28578545	ENSG00000180098	25460	0.020464	0.476041
chr1	28592200	28595443	ENSG00000188060	3243	0.038556	0.581869
chr1	28589323	28643085	ENSG00000120656	53762	0.018266	0.471746
chr1	28668732	28719353	ENSG00000162419	50621	0.019577	0.459572
chr1	28736621	28769775	ENSG00000198492	33154	0.017796	0.435754
chr1	28812142	28871267	ENSG00000116329	59125	0.018284	0.501378
chr1	28887091	29120046	ENSG00000159023	232955	0.013602	0.434664
chr1	29119428	29123935	ENSG00000253304	4507	0.071682	0.646328
chr1	29147743	29181987	ENSG00000116350	34244	0.016792	0.430061
chr1	29192873	29230942	ENSG00000116353	38069	0.0145	0.482151
chr1	29236516	29326813	ENSG00000060656	90297	0.016811	0.51582
chr1	30711277	30723587	ENSG00000162510	12310	0.027135	0.563688
chr1	30732469	30757820	ENSG00000162511	25351	0.015108	0.526133
chr1	30869467	30908761	ENSG00000162512	39294	0.016721	0.557184
chr1	30931506	31065991	ENSG00000134644	134485	0.009032	0.399608
chr1	31179745	31239554	ENSG00000084628	59809	0.016269	0.504623
